,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
46,Pratt Whitney Canada,PT6A-34,"EMB-111, IAI 201/202",559.275,0.361925045765871,,,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,150.138952
47,Pratt Whitney Canada,PT6A-34B,T-44A,559.275,0.361925045765871,,,1 + FT,,3 + 1C,2.0,,1.0,1.5748,0.4826,156.035648
48,Pratt Whitney Canada,PT6A-41,"C-12C/D/L, RC-12D/G/H, TC-12B, UC-12B/D",633.845,0.35949193621450376,,,1 + FT,,3 + 1C,2.0,,2.0,1.7018,0.4826,182.797576
49,Pratt Whitney Canada,PT6A-60A,C-12S,782.985,0.3333360085373064,,,1 + FT,,3 + 1C,2.0,,2.0,1.8288,0.4826,215.4562
50,Pratt Whitney Canada,PT6A-62,"PC-9A/B/Mk.2, PZL-130TC/TP",857.5550000000001,0.34489327890630056,,,1 + FT,,3 + 1C,2.0,,2.0,1.778,0.4826,205.930768
51,Pratt Whitney Canada,PT6A-65B,"C-12J, UC-12J",820.27,0.3260366798832048,10.0,10.0,1 + FT,,4 + 1C,2.0,,2.0,1.8796,0.4826,218.177752
52,Pratt Whitney Canada,PT6A-66,Saras (prototype),633.845,0.377131980461916,,,1 + FT,,4 + 1C,2.0,,2.0,1.778,0.4826,213.18824
53,Pratt Whitney Canada,PT6A-68,"JPATS PC-9 Mk.II, CT-156 Harvard II, EMB-312H",932.125,0.328469789434572,,,1 + FT,,4 + 1C,2.0,,2.0,1.778,0.4826,249.929192
54,Pratt Whitney Canada,PT6B-36,S-76B,731.5317,0.3613167683780292,,,1 + FT,,4 + 1C,2.0,,2.0,1.50368,0.49529999999999996,168.736224
55,Pratt Whitney Canada,PT6T-3B-1,CH-146 Griffon,1342.26,0.3625333231537128,,,1 + FT,,4 + 1C,2.0,,2.0,1.7018,1.1176,299.37072
