,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
60,Garrett,TPE331-3U-303N,S55T,674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
61,Garrett,TPE331-3U-303V,Jetstream 3,674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
62,Garrett,TPE331-3U-304G,"Merlin III/IIIA/IV/IVA, Metro I/II/IIA",674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
63,Garrett,TPE331-3UW-304G,Metro II/IIA,674.1128,0.3333360085373064,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
64,Garrett,TPE331-5-251C,C-211-100,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
65,Garrett,TPE331-5-251K,Turbo Commander 690/690A/680B,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
66,Garrett,TPE331-5-252C,C-212-100,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
67,Garrett,TPE331-5-252D,Do 228-101/-201/-202/-202K,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
68,Garrett,TPE331-5-252K,Turbo Commander 690A/690B,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
69,Garrett,TPE331-5-252M,MU-2N/P,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
70,Garrett,TPE331-5-254K,Jetprop Commander 690C/690D,626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
71,Garrett,TPE331-5-255K,"Turbo Commander 690/690A/690B, Jetprop Commander 690C/690D",626.388,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
72,Garrett,TPE331-6-251M,MU-2J/K/L/M,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
73,Garrett,TPE331-6-252B,King Air B100,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
74,Garrett,TPE331-6-252L,Merlin IIB,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
75,Garrett,TPE331-6-252M,"MU-2J/K/L/M, FU24-950/954, FU24A-950/954",602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
76,Garrett,TPE331-6-252T,Skyvan,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
77,Garrett,TPE331-6-253B,King Air B100,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
78,Garrett,TPE331-6A-251M,MU-2J/K/L/M,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
79,Garrett,TPE331-6A-252M,MU-2J/K/L/M,602.5256,0.35097605278471855,,10.3,1,,2C,3.0,,,1.0922,0.6604,161.02516
80,Garrett,TPE331-10A,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
81,Garrett,TPE331-10AV-511B,King Air B100,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
82,Garrett,TPE331-10AV-511KA,Kilo Alpha 290,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
83,Garrett,TPE331-10AV-511M,"MU-2J/K/L/M, FU24-950/954, FU24A-950/954",733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
84,Garrett,TPE331-10G-511D,Do 228-???,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
85,Garrett,TPE331-10GP-511D,Do 228-???,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
86,Garrett,TPE331-10GT-511D,Do 228-???,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
87,Garrett,TPE331-10N-511S,Conquest II,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
88,Garrett,TPE331-10N-512S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
89,Garrett,TPE331-10N-513S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
90,Garrett,TPE331-10N-514S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
91,Garrett,TPE331-10N-515S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
92,Garrett,TPE331-10N-531S,Conquest II,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
93,Garrett,TPE331-10N-532S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
94,Garrett,TPE331-10N-533S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
95,Garrett,TPE331-10N-534S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
96,Garrett,TPE331-10N-535S,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
97,Garrett,TPE331-10P-511D,Do 228-???,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
98,Garrett,TPE331-10R-501C,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
99,Garrett,TPE331-10R-502C,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
100,Garrett,TPE331-10R-511C,C-212-200,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
101,Garrett,TPE331-10R-512C,C-212-200,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
102,Garrett,TPE331-10R-513C,C-212-300,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
103,Garrett,TPE331-10T-511D,Do 228-202K,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
104,Garrett,TPE331-10T-511K,"Turbo Commander 690A/690B, Commander 840/900",733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
105,Garrett,TPE331-10T-511M,MU-2N/P,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
106,Garrett,TPE331-10T-512K,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
107,Garrett,TPE331-10T-513K,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
108,Garrett,TPE331-10T-515K,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
109,Garrett,TPE331-10T-516K,"Turbo Commander 690A/690B, Commander 840/900",733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
110,Garrett,TPE331-10T-517K,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
111,Garrett,TPE331-10U-501G,Merlin IIIB,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
112,Garrett,TPE331-10U-502G,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
113,Garrett,TPE331-10U-503G,Merlin 300 (IIIC),733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
114,Garrett,TPE331-10U-511G,Merlin IIIB,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
115,Garrett,TPE331-10U-512G,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
116,Garrett,TPE331-10U-513G,Merlin 300 (IIIC),733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
117,Garrett,TPE331-10UA-511G,Metro II/IIA,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
118,Garrett,TPE331-10UA-511G,Metro II/IIA,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
119,Garrett,TPE331-10UF-501H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
120,Garrett,TPE331-10UF-511H,Jetstream 3108,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
121,Garrett,TPE331-10UF-512H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
122,Garrett,TPE331-10UF-513H,Jetstream 3101/3103/3107,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
123,Garrett,TPE331-10UF-514H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
124,Garrett,TPE331-10UF-515H,Jetstream 3101,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
125,Garrett,TPE331-10UF-516H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
126,Garrett,TPE331-10UG-513H,Jetstream 3101/3102/3108,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
127,Garrett,TPE331-10UG-514H,Jetstream 3101/3102,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
128,Garrett,TPE331-10UG-515H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
129,Garrett,TPE331-10UG-516H,,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
130,Garrett,TPE331-10UGR-513H,Jetstream 3101/3102,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
131,Garrett,TPE331-10UGR-514H,Jetstream 3101/3102/3109,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
132,Garrett,TPE331-10UGR-515H,Jetstream 3112,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
133,Garrett,TPE331-10UGR-516H,Jetstream 3112,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
134,Garrett,TPE331-10UK,,779.2565000000001,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
135,Garrett,TPE331-10UR-513H,Jetstream 3101/3102/3103/3112,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
136,Garrett,TPE331-11U-601G,"Metro III, Metro 23-11",745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
137,Garrett,TPE331-11U-602G,,745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
138,Garrett,TPE331-11U-611G,"Metro III, Metro 23-11",745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
139,Garrett,TPE331-11U-612G,"Metro III, Metro 23-11",745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
